DeviceName,Weather,Time,Timestamp,Activity,RoomName,PowerStatus,Week,UserId,Routines
SmartBlinds,Partly Cloudy,6:00 AM,1612160000,Awaken,Bedroom,Open,Thursday,3434n3hjhdjfhjdy,Morning Routine
Light,Partly Cloudy,6:00 AM,1612160000,Awaken,Bedroom,On,Thursday,3434n3hjhdjfhjdy,Morning Routine
WaterHeater,Partly Cloudy,6:02 AM,1612164000,Bathing,Bathroom,On,Thursday,3434n3hjhdjfhjdy,Morning Routine
Light,Partly Cloudy,6:02 AM,1612164000,Bathing,Bathroom,On,Thursday,3434n3hjhdjfhjdy,Morning Routine
WaterHeater,Partly Cloudy,6:25 AM,1612245000,Getting Ready,Bathroom,Off,Thursday,3434n3hjhdjfhjdy,Morning Routine
Light,Partly Cloudy,6:35 AM,1612310000,Getting Ready,Bathroom,Off,Thursday,3434n3hjhdjfhjdy,Morning Routine
SmartBlinds,Partly Cloudy,6:35 AM,1612310000,Getting Ready,Bedroom,Close,Thursday,3434n3hjhdjfhjdy,Morning Routine
Light,Partly Cloudy,6:35 AM,1612310000,Getting Ready,Bedroom,Off,Thursday,3434n3hjhdjfhjdy,Morning Routine
SmartBlinds,Partly Cloudy,6:38 AM,1612318000,Walking,LivingRoom,Open,Thursday,3434n3hjhdjfhjdy,Morning Routine
Coffee Maker,Partly Cloudy,6:40 AM,1612320000,Cooking,Kitchen,On,Thursday,3434n3hjhdjfhjdy,Morning Routine
Light,Partly Cloudy,6:40 AM,1612320000,Cooking,Kitchen,On,Thursday,3434n3hjhdjfhjdy,Morning Routine
Coffee Maker,Partly Cloudy,7:00 AM,1612400000,Cooking,Kitchen,Off,Thursday,3434n3hjhdjfhjdy,Morning Routine
Light,Partly Cloudy,7:00 AM,1612400000,Cooking,Kitchen,Off,Thursday,3434n3hjhdjfhjdy,Morning Routine
SmartBlinds,Partly Cloudy,7:05 AM,1612405000,Walking,LivingRoom,Close,Thursday,3434n3hjhdjfhjdy,Morning Routine
SmartDoor,Partly Cloudy,7:15 AM,1612475000,Outdoor,LivingRoom,Lock,Thursday,3434n3hjhdjfhjdy,Morning Routine
SmartDoor,Partly Cloudy,4:15 PM,1615115000,Outdoor,LivingRoom,Unlock,Thursday,3434n3hjhdjfhjdy,Evening Routine
SmartBlinds,Partly Cloudy,4:15 PM,1615115000,Walking,LivingRoom,Open,Thursday,3434n3hjhdjfhjdy,Evening Routine
Light,Partly Cloudy,4:15 PM,1615115000,Relaxing,LivingRoom,On,Thursday,3434n3hjhdjfhjdy,Evening Routine
Light,Partly Cloudy,4:15 PM,1615115000,Refreshing,Bedroom,On,Thursday,3434n3hjhdjfhjdy,Evening Routine
SmartBlinds,Partly Cloudy,4:20 PM,1615120000,Refreshing,Bedroom,Open,Thursday,3434n3hjhdjfhjdy,Evening Routine
WaterHeater,Partly Cloudy,4:22 PM,1615122000,Refreshing,Bathroom,On,Thursday,3434n3hjhdjfhjdy,Evening Routine
Light,Partly Cloudy,4:22 PM,1615122000,Refreshing,Bathroom,On,Thursday,3434n3hjhdjfhjdy,Evening Routine
SmartBlinds,Partly Cloudy,4:38 PM,1615198000,Refreshing,Bedroom,Close,Thursday,3434n3hjhdjfhjdy,Evening Routine
WaterHeater,Partly Cloudy,4:40 PM,1615200000,Refreshing,Bathroom,Off,Thursday,3434n3hjhdjfhjdy,Evening Routine
Light,Partly Cloudy,4:40 PM,1615200000,Refreshing,Bathroom,Off,Thursday,3434n3hjhdjfhjdy,Evening Routine
Light,Partly Cloudy,4:50 PM,1615260000,Refreshing,LivingRoom,Off,Thursday,3434n3hjhdjfhjdy,Evening Routine
SmartTV,Partly Cloudy,4:52 PM,1615272000,WatchingTV,LivingRoom,On,Thursday,3434n3hjhdjfhjdy,Evening Routine
Light,Partly Cloudy,5:00 PM,1615320000,Cooking,Kitchen,On,Thursday,3434n3hjhdjfhjdy,Evening Routine
Coffee Maker,Partly Cloudy,5:00 PM,1615320000,Cooking,Kitchen,On,Thursday,3434n3hjhdjfhjdy,Evening Routine
Coffee Maker,Partly Cloudy,5:05 PM,1615325000,Cooking,Kitchen,Off,Thursday,3434n3hjhdjfhjdy,Evening Routine
Light,Partly Cloudy,6:00 PM,1615400000,Cooking,Kitchen,Off,Thursday,3434n3hjhdjfhjdy,Evening Routine
SmartTV,Partly Cloudy,6:15 PM,1615475000,WatchingTV,LivingRoom,Off,Thursday,3434n3hjhdjfhjdy,Evening Routine
Light,Partly Cloudy,6:15 PM,1615475000,Cooking,Kitchen,On,Thursday,3434n3hjhdjfhjdy,Evening Routine
Light,Partly Cloudy,7:00 PM,1615520000,Cooking,Kitchen,Off,Thursday,3434n3hjhdjfhjdy,Evening Routine
SmartTV,Partly Cloudy,7:02 PM,1615522000,WatchingTV,LivingRoom,On,Thursday,3434n3hjhdjfhjdy,Night Routine
SmartTV,Partly Cloudy,7:30 PM,1615580000,WatchingTV,LivingRoom,Off,Thursday,3434n3hjhdjfhjdy,Night Routine
Light,Partly Cloudy,7:30 PM,1615580000,Walking,LivingRoom,Off,Thursday,3434n3hjhdjfhjdy,Night Routine
Light,Partly Cloudy,7:32 PM,1615582000,Reading,Bedroom,On,Thursday,3434n3hjhdjfhjdy,Night Routine
Light,Partly Cloudy,7:32 PM,1615582000,Refreshing,Bathroom,On,Thursday,3434n3hjhdjfhjdy,Night Routine
Light,Partly Cloudy,7:40 PM,1615640000,Refreshing,Bathroom,Off,Thursday,3434n3hjhdjfhjdy,Night Routine
Light,Partly Cloudy,8:30 PM,1615820000,Sleeping,Bedroom,Off,Thursday,3434n3hjhdjfhjdy,Night Routine
SmartBlinds,Partly Cloudy,6:00 AM,1706833800000,Awaken,Bedroom,Open,Friday,3434n3hjhdjfhjdy,Morning Routine
