DeviceName,Time,Timestamp,Activity,RoomName,PowerStatus,Day,Hour,Minute
Lights,06:00,-2208986470.0,AwakeUp,Bedroom,On,1,6,0
SmartBlinds,06:00,-2208986470.0,AwakeUp,Bedroom,Open,1,6,0
Lights,06:05,-2208986170.0,Bathing,Bathroom,On,1,6,5
WaterHeater,06:07,-2208986050.0,Bathing,Bathroom,On,1,6,7
SmartBlinds,06:07,-2208986050.0,Bathing,Bathroom,Close,1,6,7
Lights,06:35,-2208984370.0,Bathing,Bathroom,Off,1,6,35
WaterHeater,06:36,-2208984310.0,Bathing,Bathroom,Off,1,6,36
SmartBlinds,06:42,-2208983950.0,Cooking,LivingRoom,Open,1,6,42
Lights,06:43,-2208983890.0,Cooking,LivingRoom,On,1,6,43
CoffeeMaker,06:45,-2208983770.0,Cooking,Kitchen,On,1,6,45
CoffeeMaker,07:10,-2208982270.0,Cooking,Kitchen,Off,1,7,10
Lights,07:12,-2208982150.0,Cooking,Kitchen,Off,1,7,12
SmartBlinds,07:20,-2208981670.0,GoingOut,LivingRoom,Close,1,7,20
SmartDoor,07:22,-2208981550.0,GoingOut,LivingRoom,Unlock,1,7,22
SmartDoor,07:25,-2208981370.0,GoingOut,LivingRoom,Lock,1,7,25
SmartDoor,11:00,-2208968470.0,GoingOut,LivingRoom,Unlock,1,11,0
SmartDoor,11:01,-2208968410.0,GoingOut,LivingRoom,Lock,1,11,1
Lights,11:15,-2208967570.0,Meal_Prep,Kitchen,On,1,11,15
Oven,11:16,-2208967510.0,Meal_Prep,Kitchen,On,1,11,16
SmartKettle,11:26,-2208966910.0,Meal_Prep,Kitchen,On,1,11,26
Oven,11:37,-2208966250.0,Meal_Prep,Kitchen,Off,1,11,37
Lights,11:40,-2208966070.0,Meal_Prep,Kitchen,Off,1,11,40
Lights,12:02,-2208964750.0,Dining,DiningRoom,On,1,12,2
Lights,12:46,-2208962110.0,Dining,DiningRoom,Off,1,12,46
Lights,06:19,-2208985330.0,AwakeUp,Bedroom,On,2,6,19
SmartBlinds,06:19,-2208985330.0,AwakeUp,Bedroom,Open,2,6,19
Lights,06:24,-2208985030.0,Bathing,Bathroom,On,2,6,24
WaterHeater,06:26,-2208984910.0,Bathing,Bathroom,On,2,6,26
SmartBlinds,06:26,-2208984910.0,Bathing,Bathroom,Close,2,6,26
Lights,06:54,-2208983230.0,Bathing,Bathroom,Off,2,6,54
WaterHeater,06:55,-2208983170.0,Bathing,Bathroom,Off,2,6,55
SmartBlinds,07:01,-2208982810.0,Cooking,LivingRoom,Open,2,7,1
Lights,07:02,-2208982750.0,Cooking,LivingRoom,On,2,7,2
CoffeeMaker,07:04,-2208982630.0,Cooking,Kitchen,On,2,7,4
CoffeeMaker,07:29,-2208981130.0,Cooking,Kitchen,Off,2,7,29
Lights,07:31,-2208981010.0,Cooking,Kitchen,Off,2,7,31
SmartBlinds,07:39,-2208980530.0,GoingOut,LivingRoom,Close,2,7,39
SmartDoor,07:41,-2208980410.0,GoingOut,LivingRoom,Unlock,2,7,41
SmartDoor,07:44,-2208980230.0,GoingOut,LivingRoom,Lock,2,7,44
SmartDoor,11:00,-2208968470.0,GoingOut,LivingRoom,Unlock,2,11,0
SmartDoor,11:01,-2208968410.0,GoingOut,LivingRoom,Lock,2,11,1
Lights,11:15,-2208967570.0,Meal_Prep,Kitchen,On,2,11,15
Oven,11:16,-2208967510.0,Meal_Prep,Kitchen,On,2,11,16
SmartKettle,11:26,-2208966910.0,Meal_Prep,Kitchen,On,2,11,26
Oven,11:37,-2208966250.0,Meal_Prep,Kitchen,Off,2,11,37
Lights,11:40,-2208966070.0,Meal_Prep,Kitchen,Off,2,11,40
Lights,12:02,-2208964750.0,Dining,DiningRoom,On,2,12,2
Lights,12:46,-2208962110.0,Dining,DiningRoom,Off,2,12,46
Lights,06:22,-2208985150.0,AwakeUp,Bedroom,On,3,6,22
SmartBlinds,06:22,-2208985150.0,AwakeUp,Bedroom,Open,3,6,22
Lights,06:27,-2208984850.0,Bathing,Bathroom,On,3,6,27
WaterHeater,06:29,-2208984730.0,Bathing,Bathroom,On,3,6,29
SmartBlinds,06:29,-2208984730.0,Bathing,Bathroom,Close,3,6,29
Lights,06:57,-2208983050.0,Bathing,Bathroom,Off,3,6,57
WaterHeater,06:58,-2208982990.0,Bathing,Bathroom,Off,3,6,58
SmartBlinds,07:04,-2208982630.0,Cooking,LivingRoom,Open,3,7,4
Lights,07:05,-2208982570.0,Cooking,LivingRoom,On,3,7,5
CoffeeMaker,07:07,-2208982450.0,Cooking,Kitchen,On,3,7,7
CoffeeMaker,07:32,-2208980950.0,Cooking,Kitchen,Off,3,7,32
Lights,07:34,-2208980830.0,Cooking,Kitchen,Off,3,7,34
SmartBlinds,07:42,-2208980350.0,GoingOut,LivingRoom,Close,3,7,42
SmartDoor,07:44,-2208980230.0,GoingOut,LivingRoom,Unlock,3,7,44
SmartDoor,07:47,-2208980050.0,GoingOut,LivingRoom,Lock,3,7,47
SmartDoor,11:00,-2208968470.0,GoingOut,LivingRoom,Unlock,3,11,0
SmartDoor,11:01,-2208968410.0,GoingOut,LivingRoom,Lock,3,11,1
Lights,11:15,-2208967570.0,Meal_Prep,Kitchen,On,3,11,15
Oven,11:16,-2208967510.0,Meal_Prep,Kitchen,On,3,11,16
SmartKettle,11:26,-2208966910.0,Meal_Prep,Kitchen,On,3,11,26
Oven,11:37,-2208966250.0,Meal_Prep,Kitchen,Off,3,11,37
Lights,11:40,-2208966070.0,Meal_Prep,Kitchen,Off,3,11,40
Lights,12:02,-2208964750.0,Dining,DiningRoom,On,3,12,2
Lights,12:46,-2208962110.0,Dining,DiningRoom,Off,3,12,46
Lights,06:28,-2208984790.0,AwakeUp,Bedroom,On,4,6,28
SmartBlinds,06:28,-2208984790.0,AwakeUp,Bedroom,Open,4,6,28
Lights,06:33,-2208984490.0,Bathing,Bathroom,On,4,6,33
WaterHeater,06:35,-2208984370.0,Bathing,Bathroom,On,4,6,35
SmartBlinds,06:35,-2208984370.0,Bathing,Bathroom,Close,4,6,35
Lights,07:03,-2208982690.0,Bathing,Bathroom,Off,4,7,3
WaterHeater,07:04,-2208982630.0,Bathing,Bathroom,Off,4,7,4
SmartBlinds,07:10,-2208982270.0,Cooking,LivingRoom,Open,4,7,10
Lights,07:11,-2208982210.0,Cooking,LivingRoom,On,4,7,11
CoffeeMaker,07:13,-2208982090.0,Cooking,Kitchen,On,4,7,13
CoffeeMaker,07:38,-2208980590.0,Cooking,Kitchen,Off,4,7,38
Lights,07:40,-2208980470.0,Cooking,Kitchen,Off,4,7,40
SmartBlinds,07:48,-2208979990.0,GoingOut,LivingRoom,Close,4,7,48
SmartDoor,07:50,-2208979870.0,GoingOut,LivingRoom,Unlock,4,7,50
SmartDoor,07:53,-2208979690.0,GoingOut,LivingRoom,Lock,4,7,53
SmartDoor,11:00,-2208968470.0,GoingOut,LivingRoom,Unlock,4,11,0
SmartDoor,11:01,-2208968410.0,GoingOut,LivingRoom,Lock,4,11,1
Lights,11:15,-2208967570.0,Meal_Prep,Kitchen,On,4,11,15
Oven,11:16,-2208967510.0,Meal_Prep,Kitchen,On,4,11,16
SmartKettle,11:26,-2208966910.0,Meal_Prep,Kitchen,On,4,11,26
Oven,11:37,-2208966250.0,Meal_Prep,Kitchen,Off,4,11,37
Lights,11:40,-2208966070.0,Meal_Prep,Kitchen,Off,4,11,40
Lights,12:02,-2208964750.0,Dining,DiningRoom,On,4,12,2
Lights,12:46,-2208962110.0,Dining,DiningRoom,Off,4,12,46
Lights,06:10,-2208985870.0,AwakeUp,Bedroom,On,5,6,10
SmartBlinds,06:10,-2208985870.0,AwakeUp,Bedroom,Open,5,6,10
Lights,06:15,-2208985570.0,Bathing,Bathroom,On,5,6,15
WaterHeater,06:17,-2208985450.0,Bathing,Bathroom,On,5,6,17
SmartBlinds,06:17,-2208985450.0,Bathing,Bathroom,Close,5,6,17
Lights,06:45,-2208983770.0,Bathing,Bathroom,Off,5,6,45
WaterHeater,06:46,-2208983710.0,Bathing,Bathroom,Off,5,6,46
SmartBlinds,06:52,-2208983350.0,Cooking,LivingRoom,Open,5,6,52
Lights,06:53,-2208983290.0,Cooking,LivingRoom,On,5,6,53
CoffeeMaker,06:55,-2208983170.0,Cooking,Kitchen,On,5,6,55
CoffeeMaker,07:20,-2208981670.0,Cooking,Kitchen,Off,5,7,20
Lights,07:22,-2208981550.0,Cooking,Kitchen,Off,5,7,22
SmartBlinds,07:30,-2208981070.0,GoingOut,LivingRoom,Close,5,7,30
SmartDoor,07:32,-2208980950.0,GoingOut,LivingRoom,Unlock,5,7,32
SmartDoor,07:35,-2208980770.0,GoingOut,LivingRoom,Lock,5,7,35
SmartDoor,11:00,-2208968470.0,GoingOut,LivingRoom,Unlock,5,11,0
SmartDoor,11:01,-2208968410.0,GoingOut,LivingRoom,Lock,5,11,1
Lights,11:15,-2208967570.0,Meal_Prep,Kitchen,On,5,11,15
Oven,11:16,-2208967510.0,Meal_Prep,Kitchen,On,5,11,16
SmartKettle,11:26,-2208966910.0,Meal_Prep,Kitchen,On,5,11,26
Oven,11:37,-2208966250.0,Meal_Prep,Kitchen,Off,5,11,37
